,precision,recall,f1-score,support
negativo,0.88,0.7586206896551724,0.8148148148148148,58.0
neutral,0.6724137931034483,0.8863636363636364,0.7647058823529411,44.0
positivo,0.5714285714285714,0.3076923076923077,0.4,13.0
accuracy,0.7565217391304347,0.7565217391304347,0.7565217391304347,0.7565217391304347
macro avg,0.7079474548440065,0.6508922112370389,0.6598402323892519,115.0
weighted avg,0.7656937245662883,0.7565217391304347,0.7487505920242492,115.0
