,precision,recall,f1-score,support
negativo,0.9206349206349206,0.6823529411764706,0.7837837837837838,85.0
neutral,0.6826923076923077,0.922077922077922,0.7845303867403315,77.0
positivo,0.625,0.38461538461538464,0.47619047619047616,13.0
accuracy,0.7657142857142857,0.7657142857142857,0.7657142857142857,0.7657142857142857
macro avg,0.7427757427757428,0.6630154159565924,0.6815015489048638,175.0
weighted avg,0.7939787196930054,0.7657142857142857,0.7612625005205905,175.0
